date,index,close
2026-09-08,Nifty 50,23635.1
2026-09-08,Nifty 500,23106.1
2026-09-08,Nifty Midcap 150,23090
2026-09-08,Nifty Smallcap 250,18527.2
2026-09-08,Nifty Microcap 250,26715.4
2026-09-09,Nifty 50,23431.50
2026-09-09,Nifty 500,22958.75
2026-09-09,Nifty Midcap 150,22990.95
2026-09-09,Nifty Smallcap 250,18431.95
2026-09-09,Nifty Microcap 250,26675.30
2026-09-10,Nifty 50,23477.80
2026-09-10,Nifty 500,22952.35
2026-09-10,Nifty Midcap 150,22904.25
2026-09-10,Nifty Smallcap 250,18433.40
2026-09-10,Nifty Microcap 250,26623.40
2026-09-11,Nifty 50,23398.10
2026-09-11,Nifty 500,22866.50
2026-09-11,Nifty Midcap 150,22847.85
2026-09-11,Nifty Smallcap 250,18339.90
2026-09-11,Nifty Microcap 250,26650.70
2026-09-14,Nifty 50,23398.10
2026-09-14,Nifty 500,22866.50
2026-09-14,Nifty Midcap 150,22847.85
2026-09-14,Nifty Smallcap 250,18339.90
2026-09-14,Nifty Microcap 250,26650.70
2026-09-15,Nifty 50,23118.60
2026-09-15,Nifty 500,22477.45
2026-09-15,Nifty Midcap 150,22358.80
2026-09-15,Nifty Smallcap 250,17892.80
2026-09-15,Nifty Microcap 250,25780.30
2026-09-16,Nifty 50,23217.60
2026-09-16,Nifty 500,22532.00
2026-09-16,Nifty Midcap 150,22368.80
2026-09-16,Nifty Smallcap 250,17863.30
2026-09-16,Nifty Microcap 250,25743.90
2026-09-17,Nifty 50,23270.60
2026-09-17,Nifty 500,22654.65
2026-09-17,Nifty Midcap 150,22568.85
2026-09-17,Nifty Smallcap 250,18009.25
2026-09-17,Nifty Microcap 250,25962.15
